event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,id
1,76,76,1415084,1615403,1415084,5,1000,0,0,3,6628862
2,45,117,4480805,4504089,2899420,14,1002,2,4,2,6628862
3,63,176,512587,527608,1258116,32,1005,2,4,5,6628862
4,84,260,1439976,1492363,666287,20,1007,1,0,7,6628862
5,43,303,5508835,5613707,803583,13,1009,1,0,4,6628862
6,82,385,1598865,1640747,505387,23,1010,1,0,6,6628862
7,38,423,7687800,7737231,1242976,16,1010,1,0,4,6628862
8,63,486,652685,678010,532402,4,1013,0,0,14,6628862
9,88,574,1068592,1119936,349397,4,1020,0,0,2,6628862
10,65,639,5765837,5808416,423416,1,1020,2,0,2,6628862
11,23,662,8628928,8688699,606674,8,1027,1,0,1,6628862
12,93,755,155903,165627,234101,2,1030,1,0,15,6628862
13,53,808,2448282,2507821,186325,1,1036,1,0,2,6628862
14,63,871,2467663,2529038,170327,7,1040,1,0,1,6628862
15,34,905,5628309,5718390,185759,8,1039,1,0,0,6628862
16,59,964,1328985,1368452,129317,18,1041,1,0,1,6628862
17,75,1035,134466,142251,66119,87,1048,2,4,1,6628862
18,47,1082,2224564,2287345,68656,87,1055,0,0,18,6628862
19,39,1121,4810399,4887819,81866,50,1057,1,0,10,6628862
1,67,67,3683786,3722397,3683786,0,1000,0,0,3,1207900
2,54,121,1855611,1871623,2185508,0,1001,1,0,2,1207900
3,59,176,894080,901588,1245353,0,1002,2,4,2,1207900
4,84,260,1366113,1373887,631616,15,1009,0,0,10,1207900
5,49,309,2794044,2810829,460151,15,1012,0,0,13,1207900
6,45,354,9377739,9379365,2582559,16,1019,1,0,31,1207900
7,69,423,956315,958984,1219338,14,1023,2,0,9,1207900
8,43,466,5301110,5313219,1404080,12,1025,1,0,8,1207900
9,87,553,1200228,1214930,935879,12,1027,0,0,9,1207900
10,69,622,4424537,4434679,909881,0,1029,2,0,16,1207900
11,26,648,7560794,7582055,1086210,2,1034,1,0,7,1207900
12,73,721,2810178,2821773,1017692,23,1037,1,0,20,1207900
13,60,781,778644,785269,649424,23,1041,0,0,2,1207900
14,65,842,2021048,2023570,629163,6,1036,3,4,5,1207900
15,29,871,7715042,7737405,796655,6,1035,0,0,14,1207900
16,70,941,219663,222787,371617,8,1035,1,0,3,1207900
17,52,993,3206715,3216454,420210,3,1039,1,0,0,1207900
18,55,1048,1003598,1009286,308159,7,1039,2,0,2,1207900
19,52,1100,991157,998646,209146,5,1042,1,0,1,1207900
1,72,72,2372852,2594676,2372852,10,1000,0,0,9,6408907
2,56,128,1384353,1435347,1178821,10,1003,0,0,2,6408907
3,58,186,1023817,1050629,476843,23,1005,2,0,6,6408907
4,73,259,4888836,5005973,689575,31,1008,1,0,6,6408907
5,40,299,6589861,6705402,1022387,31,1006,0,0,2,6408907
6,66,365,5658904,5690847,1650643,42,1004,2,0,1,6408907
7,26,391,9585883,9609434,3647693,42,1005,0,0,3,6408907
8,48,439,3483396,3569936,3319124,0,1001,0,0,3,6408907
9,92,531,655225,688562,1981460,0,1006,0,0,3,6408907
10,66,597,5433832,5474491,2073066,0,1008,2,0,1,6408907
11,32,629,4914720,4995601,2010378,0,1010,1,0,11,6408907
12,94,723,124935,134031,938880,3,1015,1,0,3,6408907
